,status,executionTime,nbResult,query,workload,approach,run
0,ok,1.094,36.0,q07h,rdfs,FedUp-FedX,3
0,ok,1.715,56.0,q07i,rdfs,FedUp-FedX,1
0,ok,1.611,56.0,q07i,rdfs,FedUp-FedX,2
0,ok,1.756,56.0,q07i,rdfs,FedUp-FedX,3
0,ok,3.365,110.0,q07j,rdfs,FedUp-FedX,1
0,ok,3.213,110.0,q07j,rdfs,FedUp-FedX,2
0,ok,3.451,110.0,q07j,rdfs,FedUp-FedX,3
0,ok,1.257,1.0,q08a,rdfs,FedUp-FedX,1
0,ok,0.737,1.0,q08a,rdfs,FedUp-FedX,2
0,ok,0.799,1.0,q08a,rdfs,FedUp-FedX,3
0,ok,0.348,1.0,q08b,rdfs,FedUp-FedX,1
0,ok,0.668,1.0,q08b,rdfs,FedUp-FedX,2
0,ok,0.344,1.0,q08b,rdfs,FedUp-FedX,3
0,ok,0.959,1.0,q08c,rdfs,FedUp-FedX,1
0,ok,0.689,1.0,q08c,rdfs,FedUp-FedX,2
0,ok,0.76,1.0,q08c,rdfs,FedUp-FedX,3
0,ok,0.575,2.0,q08d,rdfs,FedUp-FedX,1
0,ok,0.642,2.0,q08d,rdfs,FedUp-FedX,2
0,ok,0.613,2.0,q08d,rdfs,FedUp-FedX,3
0,ok,0.388,1.0,q08e,rdfs,FedUp-FedX,1
0,ok,0.327,1.0,q08e,rdfs,FedUp-FedX,2
0,ok,0.577,1.0,q08e,rdfs,FedUp-FedX,3
0,ok,1.076,4.0,q08f,rdfs,FedUp-FedX,1
0,ok,1.462,4.0,q08f,rdfs,FedUp-FedX,2
0,ok,1.371,4.0,q08f,rdfs,FedUp-FedX,3
0,ok,0.9,4.0,q08g,rdfs,FedUp-FedX,1
0,ok,0.89,4.0,q08g,rdfs,FedUp-FedX,2
0,ok,1.105,4.0,q08g,rdfs,FedUp-FedX,3
0,ok,0.553,3.0,q08h,rdfs,FedUp-FedX,1
0,ok,0.622,3.0,q08h,rdfs,FedUp-FedX,2
0,ok,0.918,3.0,q08h,rdfs,FedUp-FedX,3
0,ok,0.594,2.0,q08i,rdfs,FedUp-FedX,1
0,ok,0.635,2.0,q08i,rdfs,FedUp-FedX,2
0,ok,0.692,2.0,q08i,rdfs,FedUp-FedX,3
0,ok,0.613,1.0,q08j,rdfs,FedUp-FedX,1
0,ok,0.487,1.0,q08j,rdfs,FedUp-FedX,2
0,ok,0.688,1.0,q08j,rdfs,FedUp-FedX,3
0,ok,0.407,1.0,q09a,rdfs,FedUp-FedX,1
0,ok,0.304,1.0,q09a,rdfs,FedUp-FedX,2
