,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,4.868,10,,,q03b,rdfs,FedX,1
0,ok,1.841,6,,,q03c,rdfs,FedX,1
0,ok,3.991,8,,,q03d,rdfs,FedX,1
0,ok,2.006,6,,,q03e,rdfs,FedX,1
0,ok,1.381,5,,,q03f,rdfs,FedX,1
0,ok,1.506,4,,,q03g,rdfs,FedX,1
0,ok,8.27,10,,,q03h,rdfs,FedX,1
0,ok,1.472,6,,,q03i,rdfs,FedX,1
0,ok,2.072,10,,,q03j,rdfs,FedX,1
0,ok,1.977,7,,,q04a,rdfs,FedX,1
0,ok,2.007,6,,,q04b,rdfs,FedX,1
0,ok,1.884,10,,,q04c,rdfs,FedX,1
0,ok,10.073,1,,,q04d,rdfs,FedX,1
0,ok,2.169,6,,,q04e,rdfs,FedX,1
0,ok,1.768,10,,,q04f,rdfs,FedX,1
0,ok,1.788,8,,,q04g,rdfs,FedX,1
0,ok,1.761,9,,,q04h,rdfs,FedX,1
0,ok,1.626,8,,,q04i,rdfs,FedX,1
0,ok,2.084,4,,,q04j,rdfs,FedX,1
0,ok,4.986,2,,,q05a,rdfs,FedX,1
0,ok,5.537,5,,,q05b,rdfs,FedX,1
0,ok,2.582,1,,,q05c,rdfs,FedX,1
0,ok,2.685,3,,,q05d,rdfs,FedX,1
0,ok,2.426,1,,,q05e,rdfs,FedX,1
0,ok,6.981,2,,,q05f,rdfs,FedX,1
0,ok,2.97,5,,,q05g,rdfs,FedX,1
0,ok,6.967,5,,,q05h,rdfs,FedX,1
0,ok,2.489,2,,,q05i,rdfs,FedX,1
0,ok,2.181,3,,,q05j,rdfs,FedX,1
0,ok,1.674,39,,,q06a,rdfs,FedX,1
0,ok,1.356,15,,,q06b,rdfs,FedX,1
0,ok,1.19,13,,,q06c,rdfs,FedX,1
0,ok,1.73,39,,,q06d,rdfs,FedX,1
0,ok,2.233,41,,,q06e,rdfs,FedX,1
0,ok,1.226,7,,,q06f,rdfs,FedX,1
0,ok,2.218,41,,,q06g,rdfs,FedX,1
0,ok,1.136,15,,,q06h,rdfs,FedX,1
0,ok,1.364,15,,,q06i,rdfs,FedX,1
0,ok,1.341,9,,,q06j,rdfs,FedX,1
0,ok,7.171,72,,,q07a,rdfs,FedX,1
0,ok,2.121,25,,,q07b,rdfs,FedX,1
0,ok,4.59,54,,,q07c,rdfs,FedX,1
